ID товара;Название препарата;Рецептурность препарата;Производитель;Активное вещество;Цена;Старая цена;Ссылка на картинку;Ссылка на товар;Название региона
4f3f86cb-eb85-4921-b6ab-d42addd55599;Амарил Таблетки 2 мг 30 шт;Да;Санофи;Глимепирид;1088.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/tFWitZUBrbRC1cy5QfWC-1500x1500;https://gorzdrav.org/kaliningrad/p/amaril-tabl-2mg-n30-34938/;Италия
e8a13b8b-051a-484a-9c14-7eb19d3349ff;Октолипен капсулы 300 мг 30 шт;Да;Фармстандарт;Тиоктовая кислота;397.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/Ew7ctZUBybk0vr4z-YWK-1500x1500;https://gorzdrav.org/kaliningrad/p/oktolipen-kaps-300mg-n30-40768/;Россия
1aca8600-eef7-47e3-8de7-59bbd5cee95c;Соликва Солостар Раствор 100 ед/мл + 33 мкг/мл 3 мл 3 шт;Да;Санофи;Инсулин гларгин+Ликсисенатид;3986.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/WpONuJUBybk0vr4zSnMr-1294x879;https://gorzdrav.org/kaliningrad/p/solikva-solostar-100ed-ml-33mkg-ml-3ml3-198703/;Россия
fd5d1ca0-9b4f-4cd5-8b5d-fd83a160e26d;Глюкофаж Лонг 1 г Таблетки пролонгированного действия 30 шт;Да;Нанолек;Метформин;361.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/0sBzt5UB4hniyrJC3G8y-1500x1500;https://gorzdrav.org/kaliningrad/p/gljukofazh-long-tab-prolong-dja-1000mg30-68198/;Россия
d82db6e8-8acf-44f8-8b4b-0aabe0c89e51;Сатерекс Таблетки 30 мг 28 шт;Да;Фармасинтез;Гозоглиптин;1121.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/3q-buJUB4hniyrJColuh-942x1580;https://gorzdrav.org/kaliningrad/p/satereks-tabl-p-o-30mg-28-205762/;Россия
551de12b-d52c-45b5-b3a2-d580bbbe18e0;Сиофор Лонг Таблетки с пролонгированным высвобождением 750 мг 60 шт;Да;Berlin-Chemie;;439.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/kzleu5UB5yfJBvc3Zr-I-1438x996;https://gorzdrav.org/kaliningrad/p/siofor-long-tab-prolong-750mg-n60-663841/;Германия
4f01e35a-f6d8-43af-8d3c-7402eb11ee66;Тиогамма раствор для инфузий 12 мг/мл 50 мл 10 шт;Да;Solupharm;Тиоктовая кислота;2056.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/4it1U5oBy6WW8PWFgNJV-800x800;https://gorzdrav.org/kaliningrad/p/tiogamma-rr-d-inf-12mg-ml-50ml-fl-10-23676/;Германия
cd740f23-471b-43b6-8675-488f82c7e9d0;Глюкованс Таблетки 5 мг + 500 мг 60 шт;Да;МЕРК;Глибенкламид+Метформин;1041.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/j6JPuZUBBKIAJbhrY300-800x800;https://gorzdrav.org/kaliningrad/p/gljukovans-tabl-p-o-500mg-n60-300778/;Франция
9338737e-6795-41a3-a95d-df1ec7874447;Октолипен Концентрат для приготовления раствора для инфузий 30 мг/мл 10 мл ампулы 10 шт;Да;Фармстандарт;Тиоктовая кислота;557.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/g4nftZUB4hniyrJCTJ55-800x800;https://gorzdrav.org/kaliningrad/p/oktolipen-konc-d-rra-0-03-ml-amp-10ml-n10-40831/;Россия
dd016330-50a1-49a3-8438-ee6a738e1319;Набор из двух упаковок Галвус Мет Таблетки 50 мг + 500 мг 30 шт;Да;;;3146.00;3946.00;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/1ReOb5sBOkTyP3bfqoJF-1000x1000;https://gorzdrav.org/kaliningrad/p/bundle_galvus-met-tabl-p-o-50mg-500mg-n30-32802-2/;
