ID товара;Название препарата;Рецептурность препарата;Производитель;Активное вещество;Цена;Старая цена;Ссылка на картинку;Ссылка на товар;Название региона
dd4322f0-26c7-4c94-aaf4-7657af270d94;Минирин Мелт таблетки-лиофилизат 120 мкг 30 шт;Да;Ферринг;Десмопрессин;3135.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/5x8ktpUBrbRC1cy5r4P6-1500x1500;https://gorzdrav.org/spb/p/minirin-tabl-d-rassas-120mkg-n30-55163/;Швейцария
15a1c650-39a3-4781-9e21-53f0ed9f4f50;Дибикор Таблетки 250 мг 60 шт;Нет;ПИК-Фарма;Таурин;480.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/hspHfZgBEl21vw0W4LhI-1000x1000;https://gorzdrav.org/spb/p/dibikor-tabl-250mg-n60-33451/;Россия
7ca2e232-965f-4ca2-8dc2-f7f333fde7d1;Глибенкламид+Метформин-Озон Таблетки 2,5 мг + 400 мг 40 шт;Да;Озон;Глибенкламид+Метформин;362.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/YjmMNJYBbTelyQYwuUGM-600x600;https://gorzdrav.org/spb/p/glibenklamid-metformin-0-0025-0-4-n40-tabl-p-plen-oboloch-626299/;Россия
2fe47a0d-12de-48c6-b3d6-b66d474c077f;Глипвило Таблетки 50 мг 28 шт;Да;КРКА;Вилдаглиптин;457.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/PlDiupUBRjkwyzW3f1Tj-2079x2079;https://gorzdrav.org/spb/p/glipvilo-tabl-50mg-n28-647321/;Словения
9258d4d4-f2a8-469d-a391-dbb682048f3b;Мерифатин МВ Таблетки 750 мг 60 шт;Да;Фармасинтез;Метформин;457.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/vmJyuZUBVT-7ZLtgLYNX-800x800;https://gorzdrav.org/spb/p/merifatin-mv-tab-prolong-750mg-60-333877/;Россия
d82db6e8-8acf-44f8-8b4b-0aabe0c89e51;Сатерекс Таблетки 30 мг 28 шт;Да;Фармасинтез;Гозоглиптин;1121.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/3q-buJUB4hniyrJColuh-942x1580;https://gorzdrav.org/spb/p/satereks-tabl-p-o-30mg-28-205762/;Россия
7a38b7ab-d487-4153-9e2a-0e8c89cd8741;Глимепирид-Озон Таблетки 4 мг 30 шт;Да;Озон;Глимепирид;568.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/inGvuZUBVT-7ZLtg-HLd-800x800;https://gorzdrav.org/spb/p/glimepirid-tab-4mg-30-331207/;Россия
1985bc57-ef0b-411f-b2c0-1e9fab0a019a;Глимепирид-Озон Таблетки 1 мг 30 шт;Да;Озон;Глимепирид;274.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/XnRDuZUB7vQMbYfxM2c6-805x500;https://gorzdrav.org/spb/p/glimepirid-tab-1mg-30-207713/;Россия
f65732bb-9fa2-4db2-a0df-9539bf69c91a;Диабефарм МВ Таблетки 30 мг 60 шт;Да;Фармакор Продакшн;Гликлазид;236.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ATN3t5UBybk0vr4zkoGe-4608x3456;https://gorzdrav.org/spb/p/diabefarm-mv-tab-s-modif-vysvob-30mg-60-36943/;Россия
42dae2d7-1909-4ce5-89a5-109f82b528c3;Росинсулин С Суспензия  для подкожного введения 100 МЕ/мл катридж 3 мл 5 шт;Да;МЕДСИНТЕЗ ЗАВОД;Инсулин-изофан [человеческий генно-инженерный];969.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/TcOauZUBVT-7ZLtgr4qP-547x547;https://gorzdrav.org/spb/p/rosinsulin-s-susp-d-p-k-100me-ml-kartridzh-3ml-5-335985/;Россия
3b9d5de7-26b9-4a00-a03d-725631f2864e;Липотиоксон концентрат 25 мг/мл 12 мл 5 шт;Да;Сотекс;Тиоктовая кислота;554.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/9Ck8tpUBybk0vr4zdxec-1500x1500;https://gorzdrav.org/spb/p/lipotiokson-konc-d-inf-25mg-ml-12ml-5-59779/;Россия
63c82c31-46ca-441f-a28d-276bd4b74e83;Глимепирид Таблетки 3 мг 30 шт;Да;Пранафарм;Глимепирид;403.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/btMpTZwBOkTyP3bf6vt--1000x745;https://gorzdrav.org/spb/p/glimepirid-tabl-3mg-n30-668049/;Россия
e6f40cc2-9e92-440f-accb-408476ea0762;Глимепирид Таблетки 4 мг 90 шт;Да;Пранафарм;Глимепирид;792.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/NBAsTZwBOkTyP3bfFBrb-1000x760;https://gorzdrav.org/spb/p/glimepirid-tabl-4mg-n90-667496/;Россия
ec22a4f2-adbf-48f4-b26d-7bf135da8852;Метформин Санофи Таблетки 500 мг 60 шт;Да;Санофи;Метформин;101.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/H-CxupUBRjkwyzW3jp6a-1000x531;https://gorzdrav.org/spb/p/metformin-tabl-500mg-n60-483991/;Россия
dc2834a1-9b17-451f-9259-422d5b7cb772;Глибенкламид+Метформин-Озон Таблетки 2,5 мг + 500 мг 60 шт;Да;Озон;Глибенкламид+Метформин;476.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ekUtu5UBAi6hE-ZklS22-600x600;https://gorzdrav.org/spb/p/glibenklamid-metformin-0-0025-0-5-n60-tabl-p-plen-oboloch-645158/;Россия
72b5876f-ae5a-4082-ab24-7a98efe284de;Биосулин Н Суспензия для подкожного введения 100 ЕД/мл картридж + шприц-ручка 3 мл 5 шт;Да;Фармстандарт;Инсулин-изофан [человеческий генно-инженерный];1436.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/dQyoupUBarzHQIadBRou-600x600;https://gorzdrav.org/spb/p/biosulin-n-100ed-ml-3ml-n5-kartridzh-shpricruchka-biomatikpen-2-susp-p-k-602189/;Россия
b22f2c70-defd-4c24-9be1-9c56a40dac2e;Глимекомб таблетки 40 мг + 500 мг 60 шт;Да;Акрихин;Гликлазид+Метформин;737.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/FEiruZUBVT-7ZLtgxp5I-1500x1500;https://gorzdrav.org/spb/p/glimekomb-tab-40-mg-500-mg-60-44195/;Россия
5fbd2363-ed2a-433e-a347-445f17fd1193;Биосулин Н Суспензия для подкожного введения 100 МЕ/мл 3 мл 5 шт;Да;Фармстандарт;Инсулин-изофан [человеческий генно-инженерный];1091.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/AX0jtpUB4hniyrJCpY6e-1500x1500;https://gorzdrav.org/spb/p/biosulin-n-susp-p-k-100ed-ml-3ml-fl-5-55078/;Россия
b7a15b37-0b16-4753-b466-23185d7e521b;Росинсулин Гларгин Раствор для подкожного введения 100 МЕ/мл 3 мл 5 шт;Да;МЕДСИНТЕЗ ЗАВОД;Инсулин двухфазный [человеческий генно-инженерный];2979.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/zQmxupUBarzHQIadOi7w-1000x666;https://gorzdrav.org/spb/p/rosinsulin-glargin-100me-ml-3ml-n5-kartridzh-v-shpricruchke-rosinsulin-komfortpen-rr-p-k-641595/;Россия
18d6e99b-3c83-4ccf-8218-da22c6f20abd;Липоевая кислота Таблетки 30 мг 60 шт;Нет;Квадрат-С;;278.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/0eIuupUBsYtKaeUW3wjZ-489x451;https://gorzdrav.org/spb/p/lipoevaya-kislota-tab-30mg-n60-kvadrat-s-609769/;Россия
8b09ed1a-6b69-4f62-8668-975d28385b3a;Глимепирид Фармстандарт Таблетки 4 мг 30 шт;Да;Фармстандарт;Глимепирид;303.00;;https://gorzdrav.org/api/v1/multimedia/media/downloadFile/N6KtuZUB7vQMbYfxtiNU-1000x1000;https://gorzdrav.org/spb/p/glimepirid-0-004-n30-tabl-336623/;Россия
